date,grupo_indexador,b1,b2,b3,b4,l1,l2
2025-11-03,IPCA,0.0603586994592048,0.0379906303476655,-0.0572681488537534,-0.0022501244347218,1.9566991389361275,0.4048239274022383
2025-11-03,PREFIXADOS,0.1148724464560293,-0.0096387352807547,-0.0621988796922182,0.0320133956262039,0.9471978109926056,0.4691854177929591
2025-11-04,IPCA,0.0603586994592048,0.0379906303476655,-0.0572681488537534,-0.0022501244347218,1.9566991389361275,0.4048239274022383
2025-11-04,PREFIXADOS,0.1148724464560293,-0.0096387352807547,-0.0621988796922182,0.0320133956262039,0.9471978109926056,0.4691854177929591
2025-11-05,IPCA,0.0603586994592048,0.0379906303476655,-0.0572681488537534,-0.0022501244347218,1.9566991389361275,0.4048239274022383
2025-11-05,PREFIXADOS,0.1148724464560293,-0.0096387352807547,-0.0621988796922182,0.0320133956262039,0.9471978109926056,0.4691854177929591
2025-11-06,IPCA,0.0603586994592048,0.0379906303476655,-0.0572681488537534,-0.0022501244347218,1.9566991389361275,0.4048239274022383
2025-11-06,PREFIXADOS,0.1148724464560293,-0.0096387352807547,-0.0621988796922182,0.0320133956262039,0.9471978109926056,0.4691854177929591
2025-11-07,IPCA,0.0603586994592048,0.0379906303476655,-0.0572681488537534,-0.0022501244347218,1.9566991389361275,0.4048239274022383
2025-11-07,PREFIXADOS,0.1148724464560293,-0.0096387352807547,-0.0621988796922182,0.0320133956262039,0.9471978109926056,0.4691854177929591
